subject,target,resolution,method,best_ch,mean_r,mean_nmse
dmnelf003,GSR_CEN,hz4,EFP,T7,0.3110627915393926,1.0211290980832046
dmnelf003,GSR_CEN,hz4,HRF,P8,0.187010301084051,1.0480853255493885
dmnelf003,GSR_CEN,hz4,TA,O2,-0.3009842256002852,1.0470223620649064
dmnelf003,GSR_PDA,hz4,EFP,Fp2,0.2072128979294435,1.1842379931902252
dmnelf003,GSR_PDA,hz4,HRF,T8,0.1290497481119821,1.1120815428084825
dmnelf003,GSR_PDA,hz4,TA,O1,-0.2421054136775992,1.0462185353421238
dmnelf003,VIS,hz4,EFP,Fp2,0.0798347530172845,1.130451431453359
dmnelf003,VIS,hz4,HRF,TP9,0.0205494151301723,1.0847260934986034
dmnelf003,VIS,hz4,TA,O1,-0.0643160978838072,1.0150679236788676
dmnelf004,DMN,tr,EFP,Cz,0.1044063582989647,1.108925451192488
dmnelf004,DMN,tr,HRF,CP5,0.0425161704639404,1.1039468899135805
dmnelf004,DMN,tr,TA,POz,-0.1993812447137291,1.0224596795509944
dmnelf004,CEN,tr,EFP,Pz,-0.0877183218887823,1.2293720737666796
dmnelf004,CEN,tr,HRF,O1,-0.0453372997187841,1.539331859093474
dmnelf004,CEN,tr,TA,Pz,-0.3371392981473065,1.0919662599924471
dmnelf004,PDA,tr,EFP,Oz,0.2456465188468716,1.0632374485980935
dmnelf004,PDA,tr,HRF,Fz,0.0064758480683204,1.4084003911523324
dmnelf004,PDA,tr,TA,Pz,-0.2969295151434668,1.10750235744162
dmnelf004,GSR_DMN,tr,EFP,Cz,0.3140893917484654,0.9180298683961784
dmnelf004,GSR_DMN,tr,HRF,Cz,0.3664333626217748,0.9280724977712368
dmnelf004,GSR_DMN,tr,TA,POz,-0.2262181354286079,1.034747573881359
dmnelf004,GSR_CEN,tr,EFP,FC1,0.1591937417146219,1.2211423196085165
dmnelf004,GSR_CEN,tr,HRF,FC5,0.0755350295929339,1.2201794123095877
dmnelf004,GSR_CEN,tr,TA,Pz,-0.2483749388420576,1.069090106546864
dmnelf004,GSR_PDA,tr,EFP,FC1,0.106373396490641,1.2886195784552337
dmnelf004,GSR_PDA,tr,HRF,Fz,0.0204463383680471,1.3863489451545716
dmnelf004,GSR_PDA,tr,TA,Pz,-0.2758857384998526,1.0714109926987283
dmnelf004,VIS,tr,EFP,O2,0.2684732486188869,0.9303774691139988
dmnelf004,VIS,tr,HRF,P3,-0.040619041423799,1.2085477330737868
dmnelf004,VIS,tr,TA,Pz,-0.1227192753108262,1.0254164814270248
dmnelf004,DMN,hz4,EFP,Cz,0.1139638164895714,1.091498447055344
dmnelf004,DMN,hz4,HRF,Cz,0.0216599688940707,1.0431936723403152
dmnelf004,DMN,hz4,TA,Pz,-0.0396300252362631,1.021677975480112
dmnelf004,CEN,hz4,EFP,Pz,-0.1212974106967001,1.2977714168192331
dmnelf004,CEN,hz4,HRF,Oz,-0.0076500793892233,1.054791955367953
dmnelf004,CEN,hz4,TA,POz,-0.0769375765183616,1.0151362861960134
dmnelf004,PDA,hz4,EFP,Oz,0.2498523633778279,1.0858354639248624
dmnelf004,PDA,hz4,HRF,Cz,0.0532390449489868,1.068461710416763
dmnelf004,PDA,hz4,TA,P4,0.0148567930670412,1.0183017920816748
dmnelf004,GSR_DMN,hz4,EFP,Cz,0.3368240539510668,0.8967295091994455
dmnelf004,GSR_DMN,hz4,HRF,CP6,-0.0042065844420812,1.0559646126015962
dmnelf004,GSR_DMN,hz4,TA,Pz,-0.2042772752827263,1.0231624993794508
dmnelf004,GSR_CEN,hz4,EFP,FC1,0.1427975166795094,1.2496465571831636
dmnelf004,GSR_CEN,hz4,HRF,CP5,0.1047968033785188,1.0181426023973288
dmnelf004,GSR_CEN,hz4,TA,P4,0.1484920252600588,0.9810907652200432
dmnelf004,GSR_PDA,hz4,EFP,Fz,0.0872856042564732,1.288617711597775
dmnelf004,GSR_PDA,hz4,HRF,Cz,0.1020721819476174,1.016016376900432
dmnelf004,GSR_PDA,hz4,TA,P4,0.0053470352279659,1.0206814812384273
dmnelf004,VIS,hz4,EFP,CP2,0.1393357751968487,1.008134886676652
dmnelf004,VIS,hz4,HRF,T7,0.015027148538446,1.044048984804406
dmnelf004,VIS,hz4,TA,POz,0.0501177953636225,1.0016616370773672
dmnelf005,DMN,tr,EFP,FC1,0.1458051309727662,1.020605846978692
dmnelf005,DMN,tr,HRF,TP10,-0.0806030044504146,1.376014281264999
dmnelf005,DMN,tr,TA,P3,0.3752099577310221,0.861917011389184
dmnelf005,CEN,tr,EFP,Fz,0.4000295784057179,0.8911175592096103
dmnelf005,CEN,tr,HRF,FC6,0.2484639395454817,1.0480626641160504
dmnelf005,CEN,tr,TA,P3,0.4223484083717091,0.8385708904058036
dmnelf005,PDA,tr,EFP,CP6,0.3216535297628227,0.9382657168827008
dmnelf005,PDA,tr,HRF,FC1,0.0052518926708782,1.2330567883532848
dmnelf005,PDA,tr,TA,Pz,0.3475039832278181,0.8793165283031713
dmnelf005,GSR_DMN,tr,EFP,P4,0.3233040053334211,0.8965450577905774
dmnelf005,GSR_DMN,tr,HRF,TP9,0.0580882025776693,1.3892236366822115
dmnelf005,GSR_DMN,tr,TA,POz,0.3394934819186795,0.8854888719185827
dmnelf005,GSR_CEN,tr,EFP,Fz,0.5773943103368779,0.6933610670057011
dmnelf005,GSR_CEN,tr,HRF,FC6,0.2284502018676819,1.1423060082250012
dmnelf005,GSR_CEN,tr,TA,P3,0.3879382445802465,0.8623930928290017
dmnelf005,GSR_PDA,tr,EFP,P4,0.3264515132644954,0.9288086355307016
