subject,run,condition,microstate,duration_ms,occurrence_hz,coverage_pct,gev_pct
sub-rtbpd030,04,post,VIS,14.635,5.327,7.796,2.003
sub-rtbpd030,04,post,SAL,15.872,6.3664,10.105,3.044
sub-rtbpd038,01,pre,CEN,14.706,5.6435,8.299,3.638
sub-rtbpd038,01,pre,DANT,16.929,6.2332,10.552,3.361
sub-rtbpd038,01,pre,AUD,15.677,6.4797,10.158,4.428
sub-rtbpd038,01,pre,DMN,17.666,7.5691,13.372,4.224
sub-rtbpd038,01,pre,SOM,21.965,9.6213,21.133,12.697
sub-rtbpd038,01,pre,VIS,20.091,8.845,17.771,11.015
sub-rtbpd038,01,pre,SAL,20.676,9.0516,18.715,13.062
sub-rtbpd038,02,pre,CEN,16.471,6.3664,10.486,12.649
sub-rtbpd038,02,pre,DANT,16.305,7.1693,11.689,3.253
sub-rtbpd038,02,pre,AUD,16.317,7.2526,11.834,6.729
sub-rtbpd038,02,pre,DMN,14.312,6.3864,9.14,2.658
sub-rtbpd038,02,pre,SOM,20.556,9.9244,20.401,9.72
sub-rtbpd038,02,pre,VIS,18.144,9.7612,17.711,9.402
sub-rtbpd038,02,pre,SAL,18.99,9.8678,18.739,12.327
sub-rtbpd038,03,post,CEN,13.302,2.442,3.248,2.242
sub-rtbpd038,03,post,DANT,16.866,5.8634,9.889,3.966
sub-rtbpd038,03,post,AUD,13.543,4.3775,5.929,1.464
sub-rtbpd038,03,post,DMN,16.272,6.7362,10.961,1.814
sub-rtbpd038,03,post,SOM,23.327,10.181,23.749,11.016
sub-rtbpd038,03,post,VIS,28.883,11.247,32.484,19.324
sub-rtbpd038,03,post,SAL,18.089,7.5957,13.74,6.625
sub-rtbpd038,04,post,CEN,14.101,4.764,6.718,2.438
sub-rtbpd038,04,post,DANT,16.898,5.6668,9.576,2.175
sub-rtbpd038,04,post,AUD,14.431,5.7634,8.317,3.397
